symbol,open,high,low,ltP,ptsC,per,trdVol,trdVolM,ntP,mVal,wkhi,wklo,wkhicm_adj,wklocm_adj,xDt,cAct,previousClose,dayEndClose,iislPtsChange,iislPercChange,yPC,mPC
INFY,"1,388.00","1,398.95","1,383.20","1,393.95",19.40,1.41,31.47,3.15,437.90,4.38,"1,919.00","1,355.00","4,402.20","2,880.00",31-DEC-2999,-,"1,374.55",-,19.40,1.41,-25.55,-11.75
APOLLOHOSP,"4,277.50","4,332.10","4,261.00","4,332.10",59.05,1.38,1.21,0.12,52.20,0.52,"4,903.65","3,361.55","1,246.50",815.35,24-FEB-2023,INTERIM DIVIDEND - RS  6 PER SHARE,"4,273.05",-,59.05,1.38,-5.99,-3.77
TCS,"3,148.90","3,170.00","3,140.00","3,164.55",39.90,1.28,4.93,0.49,155.65,1.56,"3,835.60","2,926.10","2,839.70","1,970.00",16-JAN-2023,INTERIM DIVIDEND - RS 8 PER SHARE SPECIAL DIVIDEND - RS 67 PER SHARE,"3,124.65",-,39.90,1.28,-14.76,-8.30
POWERGRID,223.00,224.25,220.80,223.65,1.50,0.68,23.46,2.35,52.30,0.52,248.35,186.35,150.90,91.65,08-FEB-2023,INTERIM DIVIDEND - RS 5 PER SHARE,222.15,-,1.50,0.68,6.45,2.97
CIPLA,869.10,877.00,866.15,874.75,5.65,0.65,15.33,1.53,133.80,1.34,"1,180.10",852.00,673.00,366.50,31-DEC-2999,-,869.10,-,5.65,0.65,-13.77,-9.44
WIPRO,363.35,366.85,362.10,363.60,2.10,0.58,17.44,1.74,63.50,0.64,615.00,360.35,621.90,466.65,24-JAN-2023,INTERIM DIVIDEND - RE  1 PER SHARE,361.50,-,2.10,0.58,-40.51,-9.72
DRREDDY,"4,449.95","4,498.00","4,449.95","4,471.50",24.55,0.55,1.11,0.11,49.64,0.50,"4,625.00","3,789.85","3,666.25","2,246.50",31-DEC-2999,-,"4,446.95",-,24.55,0.55,8.34,-0.33
TECHM,"1,105.00","1,118.00","1,096.65","1,104.65",5.20,0.47,6.94,0.69,76.68,0.77,"1,574.95",943.70,"2,734.00","1,662.00",31-DEC-2999,-,"1,099.45",-,5.20,0.47,-28.37,-2.63
DIVISLAB,"2,817.20","2,828.15","2,795.00","2,815.80",12.70,0.45,0.74,0.07,20.81,0.21,"4,640.80","2,730.00","1,888.05","1,097.00",31-DEC-2999,-,"2,803.10",-,12.70,0.45,-38.16,-3.52
KOTAKBANK,"1,676.05","1,694.80","1,675.00","1,686.45",6.75,0.40,17.99,1.80,303.68,3.04,"1,997.55","1,631.00","1,264.70",630.50,31-DEC-2999,-,"1,679.70",-,6.75,0.40,-4.71,-2.53
ICICIBANK,852.50,858.90,849.15,858.70,3.25,0.38,42.61,4.26,363.59,3.64,958.20,669.95,"1,779.00",943.60,31-DEC-2999,-,855.45,-,3.25,0.38,19.55,0.53
BAJAJ-AUTO,"3,845.10","3,882.90","3,845.10","3,874.90",11.95,0.31,1.26,0.13,48.69,0.49,"4,131.75","3,460.00","2,695.00","1,793.20",31-DEC-2999,-,"3,862.95",-,11.95,0.31,7.59,0.99
ASIANPAINT,"2,797.80","2,809.00","2,772.85","2,805.70",7.90,0.28,2.01,0.20,56.19,0.56,"3,582.90","2,560.00",802.20,460.20,31-DEC-2999,-,"2,797.80",-,7.90,0.28,-7.00,-0.40
HDFCBANK,"1,560.00","1,570.80","1,555.00","1,567.15",4.00,0.26,45.85,4.59,717.04,7.17,"1,722.10","1,271.60",965.90,616.80,31-DEC-2999,-,"1,563.15",-,4.00,0.26,5.94,-4.82
BHARTIARTL,763.55,765.85,758.85,765.50,1.95,0.26,5.69,0.57,43.37,0.43,860.55,628.75,420.00,281.90,31-DEC-2999,-,763.55,-,1.95,0.26,8.59,-1.74
HDFC,"2,555.15","2,575.00","2,545.10","2,574.90",5.05,0.20,5.46,0.55,139.73,1.40,"2,933.80","2,026.00","1,177.80",755.00,31-DEC-2999,-,"2,569.85",-,5.05,0.20,9.74,-3.43
INDUSINDBK,"1,019.00","1,024.95","1,009.95","1,020.00",1.75,0.17,10.13,1.01,103.18,1.03,"1,275.80",763.20,776.00,369.50,31-DEC-2999,-,"1,018.25",-,1.75,0.17,9.52,-7.42
ITC,381.50,383.00,380.05,381.25,0.60,0.16,53.65,5.36,204.69,2.05,394.00,248.50,387.50,307.55,15-FEB-2023,INTERIM DIVIDEND - RS  6 PER SHARE,380.65,-,0.60,0.16,51.29,-0.26
SBIN,514.50,514.95,509.50,513.25,0.50,0.10,52.44,5.24,268.57,2.69,629.55,430.70,326.95,145.51,31-DEC-2999,-,512.75,-,0.50,0.10,4.61,-1.95
AXISBANK,846.25,852.50,842.50,848.70,-0.10,-0.01,38.31,3.83,323.95,3.24,970.00,618.25,493.20,216.52,31-DEC-2999,-,848.80,-,-0.10,-0.01,16.78,0.55
M&M,"1,160.55","1,170.55","1,150.00","1,164.50",-0.45,-0.04,7.76,0.78,89.94,0.90,"1,397.00",751.30,"1,433.70",846.60,31-DEC-2999,-,"1,164.95",-,-0.45,-0.04,50.43,-13.86
NESTLEIND,"19,005.05","19,067.50","18,888.00","19,036.00",-8.45,-0.04,0.04,0.00,8.40,0.08,"21,050.00","16,000.00","6,620.00","4,525.00",31-DEC-2999,-,"19,044.45",-,-8.45,-0.04,9.75,0.99
HCLTECH,"1,073.00","1,090.00","1,062.05","1,065.20",-0.70,-0.07,8.52,0.85,91.42,0.91,"1,203.00",877.35,"1,776.25","1,057.60",19-JAN-2023,INTERIM DIVIDEND - RS 10 PER SHARE,"1,065.90",-,-0.70,-0.07,-9.78,-3.62
GRASIM,"1,605.00","1,608.45","1,592.60","1,604.10",-1.85,-0.12,0.68,0.07,10.88,0.11,"1,839.50","1,276.60","3,789.00","2,426.35",31-DEC-2999,-,"1,605.95",-,-1.85,-0.12,1.39,-1.78
HINDUNILVR,"2,472.20","2,492.00","2,470.00","2,480.00",-5.10,-0.21,6.13,0.61,152.19,1.52,"2,741.60","1,931.30",814.85,537.20,31-DEC-2999,-,"2,485.10",-,-5.10,-0.21,25.34,-1.44
TATAMOTORS,419.00,420.55,416.50,418.20,-0.95,-0.23,20.77,2.08,86.87,0.87,494.40,366.20,550.70,332.10,31-DEC-2999,-,419.15,-,-0.95,-0.23,-4.04,-4.19
MARUTI,"8,353.20","8,386.50","8,278.05","8,330.35",-22.85,-0.27,1.39,0.14,115.62,1.16,"9,769.00","7,062.35","3,432.00","1,540.40",31-DEC-2999,-,"8,353.20",-,-22.85,-0.27,8.97,-3.92
EICHERMOT,"2,925.00","2,926.70","2,886.65","2,919.45",-8.25,-0.28,2.28,0.23,66.10,0.66,"3,864.10","2,310.00","15,149.90","4,401.10",31-DEC-2999,-,"2,927.70",-,-8.25,-0.28,21.94,-10.83
