symbol,open,high,low,ltP,ptsC,per,trdVol,trdVolM,ntP,mVal,wkhi,wklo,wkhicm_adj,wklocm_adj,xDt,cAct,previousClose,dayEndClose,iislPtsChange,iislPercChange,yPC,mPC
ITI,88.80,95.40,88.30,94.80,7.15,8.16,30.64,3.06,28.91,0.29,129.65,81.00,43.35,14.60,31-DEC-2999,-,87.65,-,7.15,8.16,-5.44,-2.42
AARTIDRUGS,375.00,402.70,374.30,401.35,27.65,7.40,35.56,3.56,141.13,1.41,531.40,313.90,887.50,186.00,08-FEB-2023,INTERIM DIVIDEND - RS 1 PER SHARE,373.70,-,27.65,7.40,-9.78,10.60
CYIENT,942.40,984.00,942.00,981.80,37.75,4.00,2.75,0.27,26.54,0.27,985.00,720.00,544.70,261.00,31-DEC-2999,-,944.05,-,37.75,4.00,4.71,3.04
GESHIP,604.20,631.00,601.25,623.35,22.15,3.68,4.71,0.47,29.40,0.29,748.90,330.00,467.20,281.60,10-FEB-2023,INTERIM DIVIDEND - RS 7.20 PER SHARE,601.20,-,22.15,3.68,86.30,5.32
KPITTECH,882.30,913.90,882.20,905.50,24.05,2.73,20.84,2.08,188.64,1.89,913.90,440.40,.00,.00,10-FEB-2023,INTERIM DIVIDEND - RS 1.45 PER SHARE,881.45,-,24.05,2.73,51.26,10.14
INDIAMART,"4,923.10","5,067.00","4,921.00","5,057.60",124.70,2.53,0.45,0.05,22.54,0.23,"5,248.00","3,676.00",.00,.00,31-DEC-2999,-,"4,932.90",-,124.70,2.53,12.70,6.24
WELCORP,199.00,205.40,197.00,204.10,4.85,2.43,3.89,0.39,7.86,0.08,298.50,145.85,108.40,34.55,31-DEC-2999,-,199.25,-,4.85,2.43,38.28,5.78
AUROPHARMA,486.00,498.30,485.00,497.80,11.65,2.40,15.48,1.55,76.43,0.76,727.95,397.20,"1,152.40",286.55,17-FEB-2023,INTERIM DIVIDEND - RS 3 PER SHARE,486.15,-,11.65,2.40,-28.12,8.22
REDINGTON,169.95,174.30,169.35,172.95,3.60,2.13,10.68,1.07,18.40,0.18,202.30,109.40,132.40,63.20,31-DEC-2999,-,169.35,-,3.60,2.13,15.80,-2.65
TIINDIA,"2,480.00","2,531.05","2,479.15","2,529.90",49.90,2.01,0.44,0.04,10.96,0.11,"3,046.20","1,457.60",.00,.00,15-FEB-2023,INTERIM DIVIDEND - RS 2 PER SHARE,"2,480.00",-,49.90,2.01,60.30,-0.70
PHOENIXLTD,"1,278.65","1,329.80","1,272.10","1,321.95",24.65,1.90,0.64,0.06,8.45,0.08,"1,624.00",955.35,400.85,197.50,31-DEC-2999,-,"1,297.30",-,24.65,1.90,29.95,2.43
LINDEINDIA,"3,934.95","4,009.00","3,900.00","3,985.25",69.90,1.79,0.22,0.02,8.54,0.09,"4,190.00","2,710.00",463.90,264.50,31-DEC-2999,-,"3,915.35",-,69.90,1.79,13.60,6.41
PGHL,"4,915.85","5,135.90","4,900.05","4,971.00",84.75,1.73,0.11,0.01,5.41,0.05,"5,249.00","3,870.10",894.40,535.00,13-FEB-2023,INTERIM DIVIDEND - RS  45 PER SHARE,"4,886.25",-,84.75,1.73,16.67,7.98
VBL,"1,346.35","1,394.00","1,345.80","1,375.00",19.90,1.47,11.01,1.10,151.89,1.52,"1,432.45",616.67,.00,.00,17-MAR-2023,ANNUAL GENERAL MEETING,"1,355.10",-,19.90,1.47,39.45,3.81
CROMPTON,290.85,297.30,290.10,295.50,4.10,1.41,16.28,1.63,48.05,0.48,429.00,278.00,.00,.00,31-DEC-2999,-,291.40,-,4.10,1.41,-23.59,-0.20
BEML,"1,248.05","1,270.00","1,230.30","1,264.75",16.45,1.32,0.95,0.10,11.91,0.12,"1,933.95","1,107.00",877.70,180.05,24-FEB-2023,INTERIM DIVIDEND - RS  5 PER SHARE,"1,248.30",-,16.45,1.32,-17.58,-11.28
