symbol,open,high,low,ltP,ptsC,per,trdVol,trdVolM,ntP,mVal,wkhi,wklo,wkhicm_adj,wklocm_adj,xDt,cAct,previousClose,dayEndClose,iislPtsChange,iislPercChange,yPC,mPC
HAL,"2,520.00","2,603.95","2,520.00","2,600.20",103.85,4.16,27.48,2.75,704.71,7.05,"2,914.00","1,381.00",.00,.00,20-MAR-2023,INTERIM DIVIDEND - RS 20 PER SHARE,"2,496.35",-,103.85,4.16,84.79,-0.84
ADANIGREEN,"1,024.00","1,031.45",942.65,"1,007.45",25.10,2.56,73.68,7.37,744.93,7.45,"3,050.00",439.10,.00,.00,31-DEC-2999,-,982.35,-,25.10,2.56,-47.57,77.56
ADANITRANS,"1,107.00","1,138.60","1,042.30","1,102.35",17.95,1.66,21.04,2.10,232.81,2.33,"4,236.75",631.50,.00,.00,31-DEC-2999,-,"1,084.40",-,17.95,1.66,-54.20,32.70
LTIM,"4,648.00","4,713.00","4,632.40","4,668.65",66.75,1.45,2.50,0.25,116.96,1.17,"5,107.75","4,121.00",.00,.00,31-JAN-2023,INTERIM DIVIDEND - RS 20 PER SHARE,"4,601.90",-,66.75,1.45,-,-
ATGL,"1,018.00","1,031.15",944.00,991.15,9.10,0.93,25.61,2.56,256.21,2.56,"4,000.00",650.00,.00,.00,31-DEC-2999,-,982.05,-,9.10,0.93,-47.78,13.04
NAUKRI,"3,529.00","3,548.95","3,502.00","3,548.55",30.45,0.87,0.60,0.06,21.30,0.21,"4,917.55","3,308.20","1,015.00",427.30,31-DEC-2999,-,"3,518.10",-,30.45,0.87,-23.30,-0.73
BEL,93.95,94.50,92.35,92.90,1.40,1.53,90.07,9.01,83.72,0.84,114.65,67.85,"2,375.00",893.00,24-MAR-2023,INTERIM DIVIDEND - RS 0.60 PER SHARE,92.10,-,1.40,1.53,-55.21,-2.77
BOSCHLTD,"18,427.80","18,545.00","18,308.90","18,533.00",105.20,0.57,0.04,0.00,7.40,0.07,"18,948.95","12,932.45","19,570.00","8,450.00",22-FEB-2023,INTERIM DIVIDEND - RS 200 PER SHARE,"18,427.80",-,105.20,0.57,30.62,0.31
VEDL,279.00,279.50,270.65,272.80,1.55,0.57,111.56,11.16,305.98,3.06,440.75,206.00,318.30,168.85,03-FEB-2023,INTERIM DIVIDEND - RS 12.50 PER SHARE,271.25,-,1.55,0.57,-33.24,-11.44
SBICARD,723.85,727.35,711.70,723.35,3.15,0.44,2.75,0.28,19.82,0.20,"1,028.65",655.70,.00,.00,31-DEC-2999,-,720.20,-,3.15,0.44,-16.21,-2.98
AMBUJACEM,373.00,374.30,368.90,373.75,1.60,0.43,32.70,3.27,121.58,1.22,598.00,288.50,243.80,150.10,31-DEC-2999,-,372.15,-,1.60,0.43,25.48,5.92
PAYTM,620.75,628.50,616.20,625.35,2.30,0.37,24.22,2.42,150.82,1.51,844.70,438.35,.00,.00,31-DEC-2999,-,623.05,-,2.30,0.37,19.27,0.37
HAVELLS,"1,191.40","1,194.95","1,183.15","1,194.90",4.00,0.34,0.65,0.06,7.69,0.08,"1,405.55","1,024.50",326.50,143.57,25-JAN-2023,INTERIM DIVIDEND - RS 3 PER SHARE,"1,190.90",-,4.00,0.34,4.69,-1.79
INDUSTOWER,151.20,153.65,150.50,151.50,0.50,0.33,10.43,1.04,15.83,0.16,230.90,135.15,322.00,156.00,31-DEC-2999,-,151.00,-,0.50,0.33,-29.17,-7.68
MCDOWELL-N,767.00,773.70,764.25,771.15,2.40,0.31,1.86,0.19,14.32,0.14,951.80,712.00,"2,940.80","2,225.00",31-DEC-2999,-,768.75,-,2.40,0.31,-14.71,2.44
