symbol,open,high,low,ltP,ptsC,per,trdVol,trdVolM,ntP,mVal,wkhi,wklo,wkhicm_adj,wklocm_adj,xDt,cAct,previousClose,dayEndClose,iislPtsChange,iislPercChange,yPC,mPC
ITI,88.80,95.40,88.30,94.80,7.15,8.16,30.64,3.06,28.91,0.29,129.65,81.00,43.35,14.60,31-DEC-2999,-,87.65,-,7.15,8.16,-5.44,-2.42
AARTIDRUGS,375.00,402.70,374.30,401.35,27.65,7.40,35.56,3.56,141.13,1.41,531.40,313.90,887.50,186.00,08-FEB-2023,INTERIM DIVIDEND - RS 1 PER SHARE,373.70,-,27.65,7.40,-9.78,10.60
CYIENT,942.40,984.00,942.00,981.80,37.75,4.00,2.75,0.27,26.54,0.27,985.00,720.00,544.70,261.00,31-DEC-2999,-,944.05,-,37.75,4.00,4.71,3.04
GESHIP,604.20,631.00,601.25,623.35,22.15,3.68,4.71,0.47,29.40,0.29,748.90,330.00,467.20,281.60,10-FEB-2023,INTERIM DIVIDEND - RS 7.20 PER SHARE,601.20,-,22.15,3.68,86.30,5.32
KPITTECH,882.30,913.90,882.20,905.50,24.05,2.73,20.84,2.08,188.64,1.89,913.90,440.40,.00,.00,10-FEB-2023,INTERIM DIVIDEND - RS 1.45 PER SHARE,881.45,-,24.05,2.73,51.26,10.14
WELCORP,199.00,205.40,197.00,204.10,4.85,2.43,3.89,0.39,7.86,0.08,298.50,145.85,108.40,34.55,31-DEC-2999,-,199.25,-,4.85,2.43,38.28,5.78
REDINGTON,169.95,174.30,169.35,172.95,3.60,2.13,10.68,1.07,18.40,0.18,202.30,109.40,132.40,63.20,31-DEC-2999,-,169.35,-,3.60,2.13,15.80,-2.65
PGHL,"4,915.85","5,135.90","4,900.05","4,971.00",84.75,1.73,0.11,0.01,5.41,0.05,"5,249.00","3,870.10",894.40,535.00,13-FEB-2023,INTERIM DIVIDEND - RS  45 PER SHARE,"4,886.25",-,84.75,1.73,16.67,7.98
BEML,"1,248.05","1,270.00","1,230.30","1,264.75",16.45,1.32,0.95,0.10,11.91,0.12,"1,933.95","1,107.00",877.70,180.05,24-FEB-2023,INTERIM DIVIDEND - RS  5 PER SHARE,"1,248.30",-,16.45,1.32,-17.58,-11.28
TCIEXP,"1,452.00","1,509.95","1,452.00","1,482.10",18.50,1.26,0.12,0.01,1.83,0.02,"2,013.00","1,380.25",.00,.00,08-FEB-2023,INTERIM DIVIDEND - RS 3 PER SHARE,"1,463.60",-,18.50,1.26,-15.22,-4.19
KEI,"1,652.15","1,681.90","1,652.15","1,673.00",20.85,1.26,0.86,0.09,14.32,0.14,"1,740.00","1,040.00",50.20,8.35,03-FEB-2023,INTERIM DIVIDEND - RS 3 PER SHARE,"1,652.15",-,20.85,1.26,47.43,0.25
MASTEK,"1,549.90","1,572.35","1,544.00","1,558.95",18.35,1.19,0.26,0.03,4.07,0.04,"3,413.10","1,490.15",337.20,132.50,01-FEB-2023,INTERIM DIVIDEND - RS 7 PER SHARE,"1,540.60",-,18.35,1.19,-47.84,-5.58
SWSOLAR,311.35,314.70,309.10,314.70,3.50,1.12,0.91,0.09,2.83,0.03,400.45,256.25,.00,.00,31-DEC-2999,-,311.20,-,3.50,1.12,0.66,5.59
AETHER,894.00,899.00,880.05,894.90,9.35,1.06,0.09,0.01,0.84,0.01,"1,048.90",701.00,.00,.00,31-DEC-2999,-,885.55,-,9.35,1.06,-,-
JUSTDIAL,580.00,602.20,580.00,592.80,6.10,1.04,1.01,0.10,6.01,0.06,945.00,520.00,"1,894.40",982.60,31-DEC-2999,-,586.70,-,6.10,1.04,-20.81,-4.93
BLUESTARCO,"1,453.95","1,479.00","1,442.10","1,469.10",15.15,1.04,0.75,0.07,10.99,0.11,"1,615.00",859.05,387.50,134.15,31-DEC-2999,-,"1,453.95",-,15.15,1.04,47.64,3.91
